,time,x,y,z,roll,pitch,yaw
138,163645087.505849,-25947.1004,-93094.05008,-4.44625,0,0.03358,1.98652
139,163645087.605849,-25947.77364,-93092.52507,-4.50055,0,0.0316,1.98665
140,163645087.705849,-25948.44753,-93091.00035,-4.55104,0,0.02924,1.98725
141,163645087.805849,-25949.12251,-93089.47612,-4.59855,0,0.02817,1.98803
142,163645087.906849,-25949.79869,-93087.95242,-4.64556,0,0.02822,1.98879
143,163645088.006849,-25950.47588,-93086.42917,-4.69225,0,0.027710000000000002,1.98937
144,163645088.10684898,-25951.15389,-93084.90627,-4.73766,0,0.026810000000000004,1.9899099999999998
145,163645088.205848,-25951.83291,-93083.38384,-4.781219999999999,0,0.025480000000000003,1.99072
146,163645088.306848,-25952.5134,-93081.86206,-4.82215,0,0.023809999999999998,1.99177
147,163645088.40684798,-25953.1954,-93080.34094,-4.86111,0,0.02334,1.99263
148,163645088.503848,-25953.87835,-93078.82027000001,-4.90137,0,0.02503,1.9931
149,163645088.603848,-25954.561840000002,-93077.29983999999,-4.94485,0,0.026760000000000003,1.99338
150,163645088.703848,-25955.245619999998,-93075.77953,-4.98987,0,0.026930000000000003,1.99348
151,163645088.803848,-25955.9294,-93074.25922,-5.03367,0,0.02554,1.99342
152,163645088.904848,-25956.61296,-93072.73882,-5.0747,0,0.02402,1.9932
153,163645089.003848,-25957.29604,-93071.21819,-5.1150400000000005,0,0.02478,1.9928
154,163645089.203848,-25958.660030000003,-93068.17596000001,-5.2060900000000006,0,0.028589999999999997,1.9918900000000002
155,163645089.303847,-25959.341269999997,-93066.65453,-5.2524,0,0.026869999999999998,1.99173
156,163645089.404847,-25960.02235,-93065.13301,-5.295640000000001,0,0.02544,1.99164
157,163645089.503847,-25960.70324,-93063.6114,-5.33838,0,0.02607,1.99147
158,163645089.60484698,-25961.38393,-93062.08971,-5.38341,0,0.02779,1.99144
159,163645089.703847,-25962.06496,-93060.56816,-5.43041,0,0.02808,1.9918900000000002
160,163645089.802847,-25962.746890000002,-93059.04703,-5.47509,0,0.02539,1.99249
161,163645089.904847,-25963.429480000003,-93057.52618,-5.5143,0,0.02221,1.9927700000000002
162,163645090.003847,-25964.1123,-93056.00545,-5.55037,0,0.02165,1.9928400000000002
163,163645090.10484698,-25964.79511,-93054.48471,-5.587940000000001,0,0.02338,1.9928
164,163645090.204847,-25965.478030000002,-93052.96402,-5.62796,0,0.024130000000000002,1.99305
165,163645090.303846,-25966.1618,-93051.4437,-5.66669,0,0.02216,1.9938200000000001
166,163645090.40484598,-25966.846840000002,-93049.92397,-5.7013300000000005,0,0.01991,1.99462
167,163645090.504846,-25967.53278,-93048.40462999999,-5.73453,0,0.020309999999999998,1.99505
168,163645090.604846,-25968.219409999998,-93046.88561,-5.76978,0,0.02174,1.99567
169,163645090.704846,-25968.90775,-93045.36736,-5.8066,0,0.02223,1.9972400000000001
170,163645090.803846,-25969.59927,-93043.85056,-5.8434800000000005,0,0.02186,1.99975
171,163645090.90484598,-25970.29515,-93042.33575,-5.878480000000001,0,0.02011,2.0028599999999996
172,163645091.003846,-25970.99597,-93040.82324,-5.91032,0,0.01851,2.00624
173,163645091.10384598,-25971.70222,-93039.31325,-5.9413,0,0.01888,2.0100700000000002
174,163645091.203846,-25972.41495,-93037.80631,-5.97307,0,0.01881,2.01475
175,163645091.304845,-25973.13522,-93036.30295,-6.0017,0,0.015330000000000002,2.01993
176,163645091.40384498,-25973.86322,-93034.80333,-6.02259,0,0.0103,2.02501
177,163645091.503845,-25974.59867,-93033.30734,-6.0365,0,0.0072299999999999994,2.0299099999999997
178,163645091.603845,-25975.34143,-93031.81497,-6.04853,0,0.00777,2.03483
179,163645091.70484498,-25976.09162,-93030.32633,-6.06426,0,0.01097,2.03986
180,163645091.803845,-25976.84922,-93028.84143,-6.084969999999999,0,0.013130000000000001,2.04474
181,163645091.90384498,-25977.61367,-93027.36006,-6.10532,0,0.010620000000000001,2.0491200000000003
182,163645092.003845,-25978.384280000002,-93025.88188,-6.11707,0,0.0038299999999999996,2.05318
183,163645092.104845,-25979.16083,-93024.40682,-6.11803,0,-0.00134,2.05717
184,163645092.205845,-25979.94315,-93022.93478,-6.11564,0,-0.0007,2.0609900000000003
185,163645092.303845,-25980.730919999998,-93021.46567,-6.11761,0,0.00271,2.0646400000000003
186,163645092.405844,-25981.52397,-93019.99939,-6.1237900000000005,0,0.00399,2.06818
187,163645092.50484398,-25982.32204,-93018.53586,-6.12906,0,0.00213,2.0714799999999998
188,163645092.604844,-25983.124659999998,-93017.0748,-6.12984,0,-0.0008900000000000001,2.07442
189,163645092.70584399,-25983.93128,-93015.61597,-6.1262099999999995,0,-0.00296,2.07702
190,163645092.804844,-25984.74145,-93014.15909,-6.1208800000000005,0,-0.00315,2.07932
191,163645092.904844,-25985.554819999998,-93012.70397999999,-6.11604,0,-0.00275,2.08146
192,163645093.00484398,-25986.37139,-93011.25067000001,-6.1113800000000005,0,-0.00293,2.08379
193,163645093.104844,-25987.19164,-93009.79944,-6.10593,0,-0.00359,2.0864700000000003
194,163645093.204844,-25988.015769999998,-93008.3504,-6.09932,0,-0.004220000000000001,2.0890299999999997
195,163645093.304844,-25988.843090000002,-93006.9032,-6.0919300000000005,0,-0.00461,2.0909
196,163645093.404843,-25989.67268,-93005.45728,-6.08381,0,-0.00509,2.09234
197,163645093.504843,-25990.504380000002,-93004.01257,-6.07522,0,-0.00505,2.0938
198,163645093.603843,-25991.33798,-93002.56897000001,-6.06764,0,-0.0040100000000000005,2.09491
199,163645093.703843,-25992.17263,-93001.12598,-6.06211,0,-0.00283,2.09533
200,163645093.803843,-25993.00755,-92999.68314,-6.05783,0,-0.00251,2.0954
201,163645093.900843,-25993.84262,-92998.24038999999,-6.05318,0,-0.00309,2.0956099999999998
202,163645094.000843,-25994.67825,-92996.79794,-6.04747,0,-0.0036200000000000004,2.09613
203,163645094.10084298,-25995.51485,-92995.35608,-6.0414900000000005,0,-0.00343,2.09692
204,163645094.200843,-25996.352740000002,-92993.91495,-6.03656,0,-0.00248,2.09788
205,163645094.300843,-25997.19217,-92992.47473,-6.03334,0,-0.00159,2.09907
206,163645094.400843,-25998.03355,-92991.03564,-6.03064,0,-0.00186,2.1005599999999998
207,163645094.500842,-25998.87714,-92989.59787,-6.02652,0,-0.003,2.10205
208,163645094.600842,-25999.72262,-92988.16116,-6.0207,0,-0.0037700000000000003,2.10318
209,163645094.699842,-26000.56941,-92986.72528,-6.01435,0,-0.00374,2.10398
210,163645094.801842,-26001.41737,-92985.29003999999,-6.00858,0,-0.00317,2.10486
211,163645094.90084198,-26002.26681,-92983.85571,-6.00401,0,-0.0023899999999999998,2.106
212,163645094.999842,-26003.11787,-92982.42233,-6.00055,0,-0.0018899999999999998,2.10701
213,163645095.100842,-26003.96997,-92980.98956,-5.99739,0,-0.00201,2.10751
214,163645095.200842,-26004.82245,-92979.55701,-5.993519999999999,0,-0.0026,2.1076200000000003
215,163645095.300842,-26005.675,-92978.12451000001,-5.98873,0,-0.00305,2.1076799999999998
